"index"	"name"	"continent"	"added_on_mm_dd_yyyy"	"link"	"application_deadlines"	"note_tenure_track_only_there_is_another_work_sheet_for_ntt"	"x1st_round_notice"	"email_phone"	"how_many"	"track"	"x2nd_round_notice"	"email_phone_2"	"number_in_2nd_round"	"track_2"	"comment_virtual_or_onsite"	"number_positions"	"offers_made"	"accepted"	"declined"	"who_took_the_offer_congrats"	"note_1"	"note_2"	"note_3"	"note_4"	"note_5"	"note_6"	"note_7"	"note_8"	"note_9"	"note_10"	"note_11"	"note_12"	"first_round_sent_percent"	"job"	"first_round"	"flyout"	"website"
"196"	"Northeastern University"	NA	"07/31/2024"	"https://www.linkedin.com/feed/update/urn:li:activity:7224392183691235330/"	""	"Pending university approval, our Marketing Group anticipates having a tenure-track and/or tenured faculty position available with a start date of Fall 2025. If you know any interested candidates, please encourage them to email me their application package, indicating whether they plan to be in Boston during the upcoming Summer AMA conference."	"08/09/2024"	"Email "	"AMA invite: CB (4)"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.linkedin.com"
"197"	"Widener University"	NA	"07/31/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178871827&Title=Assistant%20Professor%20of%20Event%20Management%20-%20School%20of%20Business%20Administration"	""	"AP of Event Management but also looking for Marketing PhDs"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"198"	"Thompson Rivers University"	NA	"07/31/2024"	"https://jobs.chronicle.com/job/37692487/assistant-associate-professor-marketing/"	"09/30/2024"	"Starting date January 2025"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://jobs.chronicle.com"
"199"	"The University of Texas at El Paso (2 positions)"	NA	"08/01/2024"	"https://www.higheredjobs.com/faculty/details.cfm?JobCode=178872304&Title=Assistant%20Professor%20of%20Marketing%20(2%20Positions)"	"08/15/2024"	"Candidates must provide evidence of potential publication success in top marketing journals and quality teaching. Knowledge and interest in teaching marketing analytics, strategy, sales, retailing, international marketing, and/or services, as demonstrated through prior publications and/or work experience, are highly desirable."	"08/23/2024"	"Phone"	"3"	"CB (1)
Strategy (2)"	"08/28/2024"	"Phone"	"5"	"CB (1) 
Strategy (2)"	"Onsite"	"2"	"2"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"200"	"Southeastern Louisiana University "	NA	"08/02/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178873581&Title=Assistant%2FAssociate%20Professor%20of%20Marketing%20and%20Supply%20Chain%20Management"	"09/03/2024"	" "	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"201"	"Sam Houston State University"	NA	"08/02/2024"	"https://jobs.chronicle.com/job/37693516/assistant-professor-of-marketing/"	""	"Insider info: It's an emergency ad because a professor resigned a few days ago, you can apply, but it's urgent and they have some people in mind already. <- well that's annoying... < seems like link has expired"	"08/23/2024"	""	"rejected (15)"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://jobs.chronicle.com"
"202"	"Fairfield University"	NA	"08/02/2024"	"https://ffd.wd1.myworkdayjobs.com/en-US/EmploymentOpportunities/job/Assistant-Professor--Marketing_JR0002194"	"Until Filled"	""	"10/07/2024"	"Email"	"4"	""	"10/18/2024"	"Email"	"2"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://ffd.wd1.myworkdayjobs.com"
"203"	"St. Mary's University of San Antonio"	NA	"08/03/2024"	"https://academicplacement.ama.org/job/assistant-professor-of-marketing/74592859/"	"08/12/2024"	"Selected applicants may interview at the 2024 American Marketing Association (AMA) Summer Academic Conference in Boston, MA, August 16 – 18, 2024. > Link died, please help!"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://academicplacement.ama.org"
"205"	"University of Detroit Mercy"	NA	"03/20/2024"	"https://recruiting.paylocity.com/Recruiting/Jobs/Details/2324742"	""	"Posted in March; unsure if they are still hiring but the post is still on the school's website < this was their urgent hire for Fall 2024...position must have been filled in by now"	"09/06/2024"	"Email"	"1"	""	""	""	""	""	""	"1"	"1"	"1"	""	"They sent an email saying the position has been filled"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://recruiting.paylocity.com"
"206"	"Saint Michael's College"	NA	"08/06/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178878138&Title=Assistant%20or%20Associate%20Professor%20of%20Marketing"	"09/15/2024"	"Start Jan 2025 or August 2025"	"09/25/2024"	"Phone"	"2"	""	""	""	""	""	""	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"207"	"Montclair State University"	NA	"08/06/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178878252&Title=Assistant%20or%20Associate%20Professor%20of%20Marketing%20and%20Professional%20Sales"	"Until Filled"	"The position is open until filled and application review begins immediately."	"10/15/2024"	"Email"	"2"	"CB (1) Quant (2) 18 slots provided in the email"	"10/03/2024"	""	""	"Quant (1)"	"received a rejection email  on Nov 25"	"1"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"208"	"Mississippi State University"	NA	"08/07/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178878998&Title=Assistant%20Professor"	""	"Lot of emphasis on teaching: Principles of Marketing and Marketing Research (with a Marketing Analytics emphasis); Principles of Marketing, Integrated Marketing Communications and/or Digital Marketing < Is this a different position from #130? < No"	"09/06/2024"	"Phone"	"8"	"CB (7)
Strategy (1)"	"09/13/2024
09/16/2024"	"Phone"	"4"	"CB(3)
Strategy (1)"	"Onsite"	"3"	"3"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"209"	"University of Georgia"	NA	"08/07/2024"	"https://jobs.chronicle.com/job/37695451/assistant-or-associate-professor/"	""	"Review of applications will begin immediately.; While all areas of teaching and research focus will be considered, candidates with an interest in consumer behavior, analytics/strategy, or digital marketing are desired."	"08/27/2024
08/28/2024
08/29/2024"	"Email"	"8"	"CB (4) Strategy (3) Quant (1)"	"09/08/2024 09/11/2024"	"Email"	"2"	"CB(2) Quant(3)"	"Onsite"	"1"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://jobs.chronicle.com"
"210"	"Texas Christian University"	NA	"08/07/2024"	"https://www.higheredjobs.com/faculty/details.cfm?JobCode=178879539&Title=Assistant%20Professor%20of%20Marketing"	"Until Filled"	"Quant; Review of applications will begin immediately and will continue until the position is filled."	"08/23/2024"	"Phone"	"4"	"Quant/Strategy (4)"	"09/17/2024"	"Phone"	"4"	"Quant (4)"	""	"1"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"211"	"Florida Atlantic University"	NA	"08/07/2024"	"https://fau.wd1.myworkdayjobs.com/en-US/FAU/details/Assistant-Professor-of-Marketing_REQ18742?q=marketing"	"06/30/2025"	"The ideal candidate will have research and teaching interests focused on either digital/social media marketing, marketing data analytics/quantitative analysis, or artificial intelligence"	"09/30/2024"	"Email"	"3"	"CB (2) Quant (1)"	"10/11/2024"	"Email"	"Rejected (1)"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://fau.wd1.myworkdayjobs.com"
"212"	"Trinity University"	NA	"08/09/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178881391&Title=Assistant%20Professor%20of%20Marketing%20(Tenure-Track)"	"Until Filled"	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"213"	"University of Nebraska at Lincoln"	NA	"08/09/2024"	"https://employment.unl.edu/postings/93001"	"09/12/2024"	"Research in the domain of managerial marketing (e.g., marketing strategy, B2B, sales)."	"09/21/2024"	"Email"	"6"	"Quant/Strategy (5)
Strategy (1)
Quant (1)"	"10/09/2024
10/11/2024"	"Email"	"3"	"Quant/Strategy (1)
Strategy (1)"	""	"1"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://employment.unl.edu"
"215"	"University of Toronto - Scarborough"	NA	"08/12/2024"	"https://jobs.utoronto.ca/job/Toronto-Assistant-Professor-Marketing-ON/583565817/"	"09/16/2024"	""	"09/18/2024"	"Phone"	"5"	"CB (5)"	""	""	""	""	""	"1"	"2"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://jobs.utoronto.ca"
"218"	"SUNY Plattsburgh "	NA	"08/13/2024"	"https://www.higheredjobs.com/faculty/details.cfm?JobCode=178885975&Title=Assistant%20Professor%2C%20Marketing"	"Until Filled"	"< in Plattsburgh (population = 19000 :/) < the link is wrong < Why do you say so? It is working for me. < It was wrong before. Someone changed it. Salary: $93,000 minimum"	"10/13/2024"	"Email"	"1"	"CB(1)"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"219"	"University of Minnesota Duluth"	NA	"08/14/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178886353&Title=Tenure%20Track%20Instructor%20or%20Assistant%20Professor%20of%20Marketing%20(%23%20363962)"	"9/15/2024 
or Until Filled"	"The Screening Committee will begin its review of complete applications on September 15, 2024 and will continue until the position is filled."	"10/11/2024"	"Email"	""	"Quant (1)"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"220"	"Georgetown University"	NA	"08/14/2024"	"https://apply.interfolio.com/152111"	"08/31/2024"	"< Advanced APs with a few years of experience or Associate Profs."	"09/18/2024"	"email"	"1"	"CB (AP)"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://apply.interfolio.com"
"221"	"Cedarville University"	NA	"08/14/2024"	"https://www.linkedin.com/jobs/view/marketing-faculty-at-cedarville-university-3995675974/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"	""	"At least 5 years of solid business experience in relevant areas of marketing. Committed to biblical integration in and out of the classroom"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.linkedin.com"
"222"	"Rutgers - Camden"	NA	"08/13/2024"	"https://jobs.rutgers.edu/postings/233951"	"Until Filled"	"（Second Line) Review of applications will begin immediately. < How is it different from #191? < looks like it's assistant professor only and no specific topics described in the advertisement < looks like this one is specific to Analytics, AI and ML (source: application received email) < I love how this position's focus only reveals itself after submitting an application lol"	"08/27/2024
09/18/2024"	"Email"	"2
1 (also reporting it above)"	"CB(2)
Strategy (1)
Quant (1)"	"10/01/2024"	""	"1"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://jobs.rutgers.edu"
"223"	"Depauw University"	NA	"08/16/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178889537&Title=Assistant%20Professor%20of%20Business%20Analytics%20(Tenure-track)"	""	"AP of Business Analytics but looking for ppl with Marketing Analytics degree"	"10/26/2024"	"Email"	"4"	"CB (1) Quant (3)"	"11/11/2024"	""	"1"	"Quant (1)"	""	"1"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"230"	"Villanova University"	NA	"08/20/2024"	"https://www.higheredjobs.com/faculty/details.cfm?JobCode=178892990&Title=Open%20Rank%20Faculty%20-%20Department%20of%20Marketing%20%26amp%3B%20Business%20Law"	"09/20/2024"	""	"09/23/2024"	"Email"	"4"	"CB (3) Quant (1)"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"231"	"Northwestern College"	NA	"08/07/2024"	"https://jobs.chronicle.com/job/37695626/business-economics-faculty-open-rank-open-field-/"	""	"seeks candidates with an authentic Christian faith who will embrace and live out our  mission & values, including our Reformed, evangelical and ecumenical identity as stated in our Christian Identity Statement, Mission Statement, Vision for Learning and Vision for Diversity. We view these statements as complementary and draw from each in fulfilling our mission."	"10/01/2024"	"Email"	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://jobs.chronicle.com"
"232"	"Texas A&M University"	NA	"08/20/2024"	"https://www.higheredjobs.com/faculty/details.cfm?JobCode=178893558&Title=Tenure%20-Track%3A%20Assistant%20Professor"	""	"The successful candidate is expected to conduct research in Consumer Behavior. Names and contact information of five (5) professional references"	"09/06/2024
09/09/2024"	"Email"	"3"	"CB (3)"	"09/16/2024"	"Email"	"5"	"CB (5)"	""	"2"	"3"	"2"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"233"	"Rochester Institute of Technology"	NA	"08/21/2024"	"https://www.higheredjobs.com/faculty/details.cfm?JobCode=178893741&Title=Tenure%20Track%20Faculty%20in%20Marketing"	"09/30/2024"	"130K-160K salary :/  the link to the application page doesn't work for me"	"10/15/2024"	"Email"	"5"	"CB (4) Quant (1)"	"11/01/2024"	"Email"	"1"	"CB"	""	"1"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"235"	"Johnson & Wales University"	NA	"08/21/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178894678&Title=Faculty-Marketing%20and%20Advertising%20(Open%20Rank)"	"09/30/2024"	""	"11/20/2024"	"Email"	"1"	"CB(1) "	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"236"	"Kennesaw State University"	NA	"08/22/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178895905&Title=Assistant%20Professor%20of%20Marketing%20and%20Professional%20Sales"	"09/22/2024"	"4 lines: 1 dedicated to sales and 3 in marketing. Looking for newly minted PhDs"	"09/11/2024
09/12/2024"	"Email"	"3"	"CB (3)"	"9/16/2024
9/19/2024"	"email "	"2"	"CB(2)"	""	"4"	"4"	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"237"	"Maryville University of St. Louis"	NA	"08/22/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178895958&Title=Assistant%20Professor%20and%20Graduate%20Program%20Coordinator"	""	"Teaching-focused"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"238"	"Santa Clara University"	NA	"08/23/2024"	"https://jobs.chronicle.com/job/37704898/tenure-track-assistant-professor-in-marketing/"	""	"Advanced AP; prefer strategy and quant"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://jobs.chronicle.com"
"239"	"Appalachian State University "	NA	"08/26/2024"	"`"	""	"QUANT; \"The department of Psychology at Appalachian State University is seeing applicants for a tenure-track Assistant Professor position. We are seeking an applicant with advanced training in quantitative methods who can contribute to one of our content areas (e.g., personality, cognition, developmental). Applicants must have a Ph.D. in Psychology or a related field; ABD also considered.\" > This does not have any Marketing or CB focus. There must be a job market sheet for Psychology jobs, right?"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
"240"	"San José State University"	NA	"08/28/2024"	"https://jobs.chronicle.com/job/37707615/assistant-professor-marketing-or-business-analytics-w-artificial-intelligence-ai-and-automation/"	"09/15/2024"	"a tenure-track faculty position in Marketing or Business Analytics with an emphasis on Artificial Intelligence (AI) and Automation beginning in August 2025. Applicants should be interested in teaching AI-based Marketing or AI-based Business Analytics courses, such as AI-Based Marketing, Marketing Automation, Digital Marketing with AI, AI-Driven Customer Insights, AI in Marketing Analytics, AI applications in Business Analytics/Marketing, and AI-Based Business Analytics, to our undergraduate students and MBA/Executive Level audiences, and ideally should have research that is related to these areas. Requires proof of US residence and proof of eligibility to work. Anticipated hiring academic year annual salary range: $135,000 - $142,230."	"10/08/2024"	"email"	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://jobs.chronicle.com"
"241"	"University of Southern Maine"	NA	"08/29/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178903475&Title=Assistant%20Professor%20of%20Marketing%20-%20Fall%202025"	"09/30/2024"	"At this time, the University of Southern Maine is unable to consider applicants who require Visa sponsorship support."	"09/22/2024"	"Rej"	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"242"	"Augusta University"	NA	"08/30/2024"	"https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_SCHJOB_FL&Action=U"	""	"Job #269432; Teaching 60%"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://careers.hprod.onehcm.usg.edu"
"244"	"New Jersey Institute of Technology"	NA	"08/21/2024"	"https://njit.csod.com/ux/ats/careersite/1/home/requisition/7333?c=njit"	"10/15/2024"	"AP in AI for Business < Does not seem to be a marketing AP +1"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://njit.csod.com"
"246"	"Franklin Pierce University"	NA	"09/02/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178906583&Title=Faculty%20-%20Marketing"	""	"Teaching position; unsure if TT or NT"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"247"	"Purdue University"	NA	"09/03/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178906996&Title=Assistant%20Professor%20of%20Management%20in%20Marketing"	"09/30/2024"	"Applications will start immediately and will be reviewed starting September 30, 2024 and continue until the position is filled."	"09/30/2024 10/04/2024"	"Email"	"7"	"Quant (7)"	"10/10/2024"	"Email"	"3"	"Quant (3)"	""	"1"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"248"	"Grove City College"	NA	"09/04/2024"	"https://jobs.chronicle.com/job/37711177/assistant-associate-full-professor-of-marketing/"	""	"Reposted by school; Teaching position; unsure if TT or NT; an explanation of how your Christian faith represents a strong fit with Grove City College’s unique mission"	"10/15/2024"	"Email"	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://jobs.chronicle.com"
"252"	"University of Nebraska at Kearney"	NA	"09/05/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178909322&Title=Lecturer%2C%20Assistant%20or%20Associate%20Professor%20of%20Marketing%20and%20Sales"	"10/01/2024"	"sales teaching experience; Industry experience in sales"	"10/03/2024"	"Email"	"1"	"Strategy (1)"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"253"	"Long Island University"	NA	"09/05/2024"	"https://www.higheredjobs.com/faculty/details.cfm?JobCode=178909585&Title=Tenure%20Track%20Assistant%20Professor%20for%20Marketing"	""	"competence in data analysis using machine learning, deep learning, and natural language processing < Post campus. Where is faculty page?"	"12/16/2024"	"Email"	"2"	"CB (2)"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"254"	"Purdue University (Information Systems)"	NA	"09/05/2024"	"https://careers.purdue.edu/default/job/Assistant-Professor-of-Management-in-MIS/29256-en_US"	"09/23/2024"	"waste of time. Don't apply. it's IS job < They are interested in quant marketing candidates with a digital focus. < always worth a shot < application takes only minutes."	"10/02/2024"	"Email"	"?"	""	""	""	""	""	""	"1"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://careers.purdue.edu"
"255"	"Concordia University Chicago"	NA	"09/06/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178910502&Title=Business%20Intelligence%20and%20Analytics%20Faculty%20-%20College%20of%20Business"	"09/09/2024"	"Teaching position for Business Intelligence and Analytics; unsure if TT or NT; Concordia University Chicago does not generally sponsor for employment visas except for positions that oversee, teach or support our international programs."	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"256"	"Hope College"	NA	"09/06/2024"	"https://jobs.hope.edu/postings/3741"	""	"We are inviting applicants with a focus in marketing or strategy"	"09/17/2024"	"Email"	"2"	""	"10/14/2024"	"Zoom"	"1"	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://jobs.hope.edu"
"257"	"Bellevue College "	NA	"09/06/2024"	"https://www.higheredjobs.com/details.cfm?JobCode=178911003&utm_source=09_07_24&utm_medium=email&utm_campaign=JobAgentEmail"	""	"Minimum Qualifications
A Bachelor's degree from an accredited institution in Marketing, Business, Communications, or related discipline. The education should reflect specific training in digital marketing.
A minimum of three (3) years of relevant industry or professional work experience with hands-on digital marketing.
A minimum of three (3) relevant marketing industry certifications (example: Salesforce, Google Ads, Google Analytics, HubSpot, SEMrush, Facebook, Marketo, and Tableau)."	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"258"	"Citadel"	NA	"09/06/2024"	"https://www.higheredjobs.com/details.cfm?JobCode=178911119&utm_source=09_07_24&utm_medium=email&utm_campaign=JobAgentEmail"	""	"Teach in the following areas: Professional Selling, Advanced Sales, Negotiation, and/or Marketing Research. In addition, experience in coaching sales (student or executive level) and/or training on Salesforce is preferred. Relevant professional selling experience in industry or other organizational contexts is preferred.< associate/full professor"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"260"	"Fairfield University"	NA	"09/09/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178912208&Title=Assistant%20Professor%20of%20Marketing%20-%20Business%20Communications"	""	"AP of Marketing - Business Communications < seems a different postion than 202, but do we need to apply both? < the search committee chairs are different so most likely yes"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"262"	"Arizona State University (ASU)"	NA	"09/05/2024"	"https://apply.interfolio.com/153250"	"10/09/2024"	"consumer behavior, marketing strategy << This link leads to Georgetown University << Fixed it, someone must've accidentally did a bad copy paste"	"11/01/2024"	"Email"	"8"	"CB (8) There were quite a few slots, at least 25"	"11/27/2024"	"Email"	"3"	"CB (1)"	""	"1"	"1"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://apply.interfolio.com"
"263"	"University of Nevada, Las Vegas (UNLV)"	NA	"09/05/2024"	"https://nshe.wd1.myworkdayjobs.com/en-US/UNLV-External/job/UNLV1-Main-Campus-Las-Vegas/Hospitality-Data-Analytics--Assistant-Professor--William-F-Harrah-College-of-Hospitality--R0144486-_R0144486"	"10/07/2024"	"Hospitality Data Analytics. This position requires a Ph.D. or a similar terminal degree in any of the following areas: hospitality management, tourism management, computer science, economics, business, statistics, data science or a related field."	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://nshe.wd1.myworkdayjobs.com"
"265"	"Cedarville University"	NA	"09/10/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178913520&Title=Assistant%2FAssociate%20Professor%20of%20Marketing"	""	"Reposted by school; at least 5 years of business experience"	"09/17/2024"	""	"rejection"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"266"	"San Diego State University (SDSU)"	NA	"09/11/2024"	"https://apply.interfolio.com/149696"	"08/20/2024"	"Consumer insights and behaviors, anticipated salary range is from $138,000 to $142,000; Review of candidates will begin in August 2024 and preliminary interviews will be held via Zoom in September.  Applications received by August 20, 2024 will receive full consideration < Why is it listed here again?< This is for CB; the other is quant <Hmm? The recruitment URL and description is the same. "	"09/20/2024
09/25/2024"	"Email, Phone"	"6 (CB)"	"CB"	"10/17/2024"	"Phone"	"2"	"CB (2)"	""	"1"	"1"	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://apply.interfolio.com"
"267"	"Texas A&M Corpus Christi"	NA	"09/11/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178914456&Title=Assistant%20Professor%2C%20Marketing"	"09/25/2024"	"Professional experience in marketing and sales-related positions; Experience teaching sales courses"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"268"	"Bethany College"	NA	"09/11/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178914250&Title=Business%20Faculty%20-%20Management%20%26amp%3B%20Marketing"	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
"269"	"Suffolk University"	NA	"09/11/2024"	"Assistant Professor-Tenure Track, Advertising - HigherEdJobs"	"10/01/2024"	"AP of Advertising - looking for people with focus on marketing communication as well; 45% teaching (5 course teaching load per year), 35% research, 20% service"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
"271"	"Western Carolina University"	NA	"09/11/2024"	"https://www.indeed.com/q-western-carolina-university-jobs.html?vjk=334f12c3d43eb498"	""	""	""	"Phone"	"1"	"CB"	""	"Email"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.indeed.com"
"274"	"Hillsdale College"	NA	"09/12/2024"	"https://www.higheredjobs.com/search/details.cfm?JobCode=178916898&Title=Tenure-Track%20Position%20in%20Marketing"	"10/15/2024"	"Teaching load 3-3; Specific teaching needs in digital marketing, professional selling, consumer behavior, and advertising"	"10/31/2024"	"Email"	"1"	""	"12/09/2024"	"Email"	"1"	"CB (1)"	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://www.higheredjobs.com"
